[i] Train : 24379
[i] Valid : 2709
[i] pred_bboxes_op : Tensor("concat:0", shape=(8, 54560, 4), dtype=float32)
[i] pred_classes_op : Tensor("concat_1:0", shape=(8, 54560, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(8, 54560, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(8, 54560, 21), dtype=float32)
[i] max_iteration : 304700
[i] decay_iteration : [152350 228525]
[i] iter : 3300, loss : 45.6261, focal_loss : 0.7096, giou_loss : 0.2934, l2_reg_loss : 44.6231, train_time : 38sec
[i] iter : 3350, loss : 45.4434, focal_loss : 0.6679, giou_loss : 0.2888, l2_reg_loss : 44.4867, train_time : 38sec
[i] iter : 3400, loss : 45.3043, focal_loss : 0.6748, giou_loss : 0.2791, l2_reg_loss : 44.3504, train_time : 38sec
[i] iter : 3450, loss : 45.1718, focal_loss : 0.6768, giou_loss : 0.2803, l2_reg_loss : 44.2147, train_time : 37sec
[i] iter : 3500, loss : 45.0663, focal_loss : 0.7071, giou_loss : 0.2792, l2_reg_loss : 44.0800, train_time : 38sec
[i] iter : 3550, loss : 44.8617, focal_loss : 0.6428, giou_loss : 0.2738, l2_reg_loss : 43.9451, train_time : 38sec
[i] iter : 3600, loss : 44.7758, focal_loss : 0.6875, giou_loss : 0.2778, l2_reg_loss : 43.8105, train_time : 37sec
[i] iter : 3650, loss : 44.6419, focal_loss : 0.6839, giou_loss : 0.2821, l2_reg_loss : 43.6759, train_time : 38sec
[i] iter : 3700, loss : 44.4518, focal_loss : 0.6397, giou_loss : 0.2704, l2_reg_loss : 43.5417, train_time : 37sec
[i] iter : 3750, loss : 44.3883, focal_loss : 0.7007, giou_loss : 0.2797, l2_reg_loss : 43.4079, train_time : 37sec
[i] iter : 3800, loss : 44.2118, focal_loss : 0.6573, giou_loss : 0.2798, l2_reg_loss : 43.2747, train_time : 38sec
[i] iter : 3850, loss : 44.0594, focal_loss : 0.6405, giou_loss : 0.2774, l2_reg_loss : 43.1415, train_time : 37sec
[i] iter : 3900, loss : 43.9422, focal_loss : 0.6613, giou_loss : 0.2717, l2_reg_loss : 43.0092, train_time : 38sec
[i] iter : 3950, loss : 43.8161, focal_loss : 0.6637, giou_loss : 0.2749, l2_reg_loss : 42.8776, train_time : 37sec
[i] iter : 4000, loss : 43.6503, focal_loss : 0.6315, giou_loss : 0.2729, l2_reg_loss : 42.7459, train_time : 38sec
[i] iter : 4050, loss : 43.5650, focal_loss : 0.6687, giou_loss : 0.2820, l2_reg_loss : 42.6144, train_time : 38sec
[i] iter : 4100, loss : 43.4408, focal_loss : 0.6799, giou_loss : 0.2777, l2_reg_loss : 42.4832, train_time : 37sec
